Time,Starthour,Endhour,Unit,Data
2023-03-14,12:30,12:45,MW,22.476
2023-03-14,12:45,13:00,MW,108.236
2023-03-14,13:00,13:15,MW,0.000576
2023-03-14,13:15,13:30,MW,8.596
2023-03-14,13:30,13:45,MW,0.000332
2023-03-14,13:45,14:00,MW,2.336
2023-03-14,14:00,14:15,MW,11.16
2023-03-14,14:15,14:30,MW,6.128
2023-03-14,14:30,14:45,MW,0.000012
2023-03-14,14:45,15:00,MW,0
2023-03-14,15:00,15:15,MW,0
2023-03-14,15:15,15:30,MW,4.12
2023-03-14,15:30,15:45,MW,79.576
2023-03-14,15:45,16:00,MW,229.332
2023-03-14,16:00,16:15,MW,222.46
2023-03-14,16:15,16:30,MW,59.044
2023-03-14,16:30,16:45,MW,84.524
2023-03-14,16:45,17:00,MW,359.604
2023-03-14,17:00,17:15,MW,8.684
2023-03-14,17:15,17:30,MW,0
2023-03-14,17:30,17:45,MW,27.232
2023-03-14,17:45,18:00,MW,0.000528
2023-03-14,18:00,18:15,MW,48.316
2023-03-14,18:15,18:30,MW,0
2023-03-14,18:30,18:45,MW,0.000024
2023-03-14,18:45,19:00,MW,0
2023-03-14,19:00,19:15,MW,0
2023-03-14,19:15,19:30,MW,0
2023-03-14,19:30,19:45,MW,0
2023-03-14,19:45,20:00,MW,0
2023-03-14,20:00,20:15,MW,0
2023-03-14,20:15,20:30,MW,0.00008
2023-03-14,20:30,20:45,MW,0.000176
2023-03-14,20:45,21:00,MW,6.212
2023-03-14,21:00,21:15,MW,7.548
2023-03-14,21:15,21:30,MW,0.000624
2023-03-14,21:30,21:45,MW,0.000096
2023-03-14,21:45,22:00,MW,0
2023-03-14,22:00,22:15,MW,0
2023-03-14,22:15,22:30,MW,0
2023-03-14,22:30,22:45,MW,0
2023-03-14,22:45,23:00,MW,0
2023-03-14,23:00,23:15,MW,0
2023-03-14,23:15,23:30,MW,0
2023-03-14,23:30,23:45,MW,0
2023-03-14,23:45,00:00,MW,0
2023-03-15,00:00,00:15,MW,149.408
2023-03-15,00:15,00:30,MW,40.92
2023-03-15,00:30,00:45,MW,3.612
2023-03-15,00:45,01:00,MW,0.000008
2023-03-15,01:00,01:15,MW,0
2023-03-15,01:15,01:30,MW,0
2023-03-15,01:30,01:45,MW,0
2023-03-15,01:45,02:00,MW,0
2023-03-15,02:00,02:15,MW,0
2023-03-15,02:15,02:30,MW,0
2023-03-15,02:30,02:45,MW,0
2023-03-15,02:45,03:00,MW,0.000004
2023-03-15,03:00,03:15,MW,0.000296
2023-03-15,03:15,03:30,MW,70.48
2023-03-15,03:30,03:45,MW,11.1
2023-03-15,03:45,04:00,MW,0
2023-03-15,04:00,04:15,MW,0
2023-03-15,04:15,04:30,MW,0
2023-03-15,04:30,04:45,MW,0
2023-03-15,04:45,05:00,MW,0.00026
2023-03-15,05:00,05:15,MW,7.056
2023-03-15,05:15,05:30,MW,167.432
2023-03-15,05:30,05:45,MW,54.284
2023-03-15,05:45,06:00,MW,46.708
2023-03-15,06:00,06:15,MW,30.94
2023-03-15,06:15,06:30,MW,11.148
2023-03-15,06:30,06:45,MW,0
2023-03-15,06:45,07:00,MW,0
2023-03-15,07:00,07:15,MW,0
2023-03-15,07:15,07:30,MW,0
2023-03-15,07:30,07:45,MW,0
2023-03-15,07:45,08:00,MW,0
2023-03-15,08:00,08:15,MW,0
2023-03-15,08:15,08:30,MW,0.00048
2023-03-15,08:30,08:45,MW,112.296
2023-03-15,08:45,09:00,MW,160.692
2023-03-15,09:00,09:15,MW,207.564
2023-03-15,09:15,09:30,MW,340.14
2023-03-15,09:30,09:45,MW,375.256
2023-03-15,09:45,10:00,MW,37.752
2023-03-15,10:00,10:15,MW,1.34
2023-03-15,10:15,10:30,MW,37.796
2023-03-15,10:30,10:45,MW,155.156
2023-03-15,10:45,11:00,MW,76.24
2023-03-15,11:00,11:15,MW,358.608
2023-03-15,11:15,11:30,MW,78.968
2023-03-15,11:30,11:45,MW,107.656
2023-03-15,11:45,12:00,MW,494.064
2023-03-15,12:00,12:15,MW,280.576
2023-03-15,12:15,12:30,MW,150.212
2023-03-15,12:30,12:45,MW,6.796
2023-03-15,12:45,13:00,MW,0
2023-03-15,13:00,13:15,MW,1.412
2023-03-15,13:15,13:30,MW,31.912
2023-03-15,13:30,13:45,MW,127.228
2023-03-15,13:45,14:00,MW,781.688
2023-03-15,14:00,14:15,MW,411.832
2023-03-15,14:15,14:30,MW,24.984
2023-03-15,14:30,14:45,MW,24.532
2023-03-15,14:45,15:00,MW,0
2023-03-15,15:00,15:15,MW,0
2023-03-15,15:15,15:30,MW,46.152
2023-03-15,15:30,15:45,MW,56.824
2023-03-15,15:45,16:00,MW,236.368
2023-03-15,16:00,16:15,MW,267.492
2023-03-15,16:15,16:30,MW,44.096
2023-03-15,16:30,16:45,MW,34.984
2023-03-15,16:45,17:00,MW,0
