Time,Product,GERMANY_MIN_ENERGY_PRICE_[EUR/MWh],Data,GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh]
2023-03-14,POS_030,152.51,619.2,15000
2023-03-14,POS_031,152.98,651.06,15000
2023-03-14,POS_032,151,664.19,15000
2023-03-14,POS_033,152.9,738.23,15000
2023-03-14,POS_034,150,726.49,15000
2023-03-14,POS_035,150,697.18,15000
2023-03-14,POS_036,150,693.73,15000
2023-03-14,POS_037,150,694.28,15000
2023-03-14,POS_038,150,694.21,15000
2023-03-14,POS_039,150,695.45,15000
2023-03-14,POS_040,150,667.82,15000
2023-03-14,POS_041,150,641.53,15000
2023-03-14,POS_042,150,639.43,15000
2023-03-14,POS_043,150,638.9,15000
2023-03-14,POS_044,150,640.33,15000
2023-03-14,POS_045,148,622.96,15000
2023-03-14,POS_046,148,621.12,15000
2023-03-14,POS_047,148,620.77,15000
2023-03-14,POS_048,147.34,620.58,15000
2023-03-14,POS_049,145,1435.53,15000
2023-03-14,POS_050,145,1612.34,15000
2023-03-14,POS_051,145,680.55,15000
2023-03-14,POS_052,144.45,666.7,15000
2023-03-14,POS_053,144.16,706.51,15000
2023-03-14,POS_054,143.28,723.28,15000
2023-03-14,POS_055,142.39,686.58,15000
2023-03-14,POS_056,139,671.57,15000
2023-03-14,POS_057,139,670.83,15000
2023-03-14,POS_058,139,754.6,15000
2023-03-14,POS_059,139,753.29,15000
2023-03-14,POS_060,139,710.97,15000
2023-03-14,POS_061,139,694.24,15000
2023-03-14,POS_062,139,693.36,15000
2023-03-14,POS_063,139,695.03,15000
2023-03-14,POS_064,139,695.94,15000
2023-03-14,POS_065,139,750.25,15000
2023-03-14,POS_066,139,786.84,15000
2023-03-14,POS_067,139,780.93,15000
2023-03-14,POS_068,139,775.89,15000
2023-03-14,POS_069,139,772.88,15000
2023-03-14,POS_070,139,766.42,15000
2023-03-14,POS_071,139,768.59,15000
2023-03-14,POS_072,139,775.38,15000
2023-03-14,POS_073,139,777.77,15000
2023-03-14,POS_074,139,907.46,15000
2023-03-14,POS_075,139,1463.6,15000
2023-03-14,POS_076,139,970.99,15000
2023-03-14,POS_077,139,886.39,15000
2023-03-14,POS_078,139,837.26,15000
2023-03-14,POS_079,143,837.05,15000
2023-03-14,POS_080,143,839.69,15000
2023-03-14,POS_081,140,711.89,15000
2023-03-14,POS_082,140,672.38,15000
2023-03-14,POS_083,140,698.92,15000
2023-03-14,POS_084,140,663.12,15000
2023-03-14,POS_085,140,631.05,15000
2023-03-14,POS_086,140,1535.14,15000
2023-03-14,POS_087,140,629.27,15000
2023-03-14,POS_088,140,605.62,15000
2023-03-14,POS_089,140,616.91,15000
2023-03-14,POS_090,140,1501.7,15000
2023-03-14,POS_091,140,4558.76,15000
2023-03-14,POS_092,140,4565.17,15000
2023-03-14,POS_093,140,4577.49,15000
2023-03-14,POS_094,140,4579.68,15000
2023-03-14,POS_095,140,4580.9,15000
2023-03-14,POS_096,140,4394.06,15000
2023-03-15,POS_001,154,3866.72,15000
2023-03-15,POS_002,154,3711.6,15000
2023-03-15,POS_003,154,3624.06,15000
2023-03-15,POS_004,154,1623,15000
2023-03-15,POS_005,154,1468.05,15000
2023-03-15,POS_006,154,770.57,15000
2023-03-15,POS_007,147,1227.83,15000
2023-03-15,POS_008,147,1799.61,15000
2023-03-15,POS_009,146.34,1201.07,15000
2023-03-15,POS_010,146.34,1120.58,15000
2023-03-15,POS_011,146.34,857.17,15000
2023-03-15,POS_012,146.34,729.55,15000
2023-03-15,POS_013,146.34,730.42,15000
2023-03-15,POS_014,146.34,730.2,15000
2023-03-15,POS_015,153.34,730.58,15000
2023-03-15,POS_016,153.34,801.23,15000
2023-03-15,POS_017,153.34,792.89,15000
