Time,Starthour,Endhour,Unit,Data
2023-03-14,13:00,13:15,MW,33.976
2023-03-14,13:15,13:30,MW,65.332
2023-03-14,13:30,13:45,MW,409.536
2023-03-14,13:45,14:00,MW,269.676
2023-03-14,14:00,14:15,MW,23.312
2023-03-14,14:15,14:30,MW,71.6
2023-03-14,14:30,14:45,MW,148.144
2023-03-14,14:45,15:00,MW,246.692
2023-03-14,15:00,15:15,MW,159.976
2023-03-14,15:15,15:30,MW,12.336
2023-03-14,15:30,15:45,MW,15.332
2023-03-14,15:45,16:00,MW,0.000392
2023-03-14,16:00,16:15,MW,1.668
2023-03-14,16:15,16:30,MW,2.004
2023-03-14,16:30,16:45,MW,1.688
2023-03-14,16:45,17:00,MW,0.00074
2023-03-14,17:00,17:15,MW,7.956
2023-03-14,17:15,17:30,MW,77.348
2023-03-14,17:30,17:45,MW,230.796
2023-03-14,17:45,18:00,MW,143.628
2023-03-14,18:00,18:15,MW,0.000048
2023-03-14,18:15,18:30,MW,85.508
2023-03-14,18:30,18:45,MW,214.264
2023-03-14,18:45,19:00,MW,455.852
2023-03-14,19:00,19:15,MW,483.384
2023-03-14,19:15,19:30,MW,632.332
2023-03-14,19:30,19:45,MW,702.748
2023-03-14,19:45,20:00,MW,541.236
2023-03-14,20:00,20:15,MW,476.952
2023-03-14,20:15,20:30,MW,267.4
2023-03-14,20:30,20:45,MW,0.000052
2023-03-14,20:45,21:00,MW,0.00004
2023-03-14,21:00,21:15,MW,3.772
2023-03-14,21:15,21:30,MW,139.828
2023-03-14,21:30,21:45,MW,6.856
2023-03-14,21:45,22:00,MW,0
2023-03-14,22:00,22:15,MW,218.828
2023-03-14,22:15,22:30,MW,143.508
2023-03-14,22:30,22:45,MW,230.896
2023-03-14,22:45,23:00,MW,3.556
2023-03-14,23:00,23:15,MW,401.2
2023-03-14,23:15,23:30,MW,3.204
2023-03-14,23:30,23:45,MW,0.000308
2023-03-14,23:45,00:00,MW,0
2023-03-15,00:00,00:15,MW,0
2023-03-15,00:15,00:30,MW,0.000864
2023-03-15,00:30,00:45,MW,0.000004
2023-03-15,00:45,01:00,MW,0.000004
2023-03-15,01:00,01:15,MW,362.236
2023-03-15,01:15,01:30,MW,55.972
2023-03-15,01:30,01:45,MW,131.548
2023-03-15,01:45,02:00,MW,0.000716
2023-03-15,02:00,02:15,MW,359.54
2023-03-15,02:15,02:30,MW,393.688
2023-03-15,02:30,02:45,MW,252.224
2023-03-15,02:45,03:00,MW,64.892
2023-03-15,03:00,03:15,MW,105.964
2023-03-15,03:15,03:30,MW,0.000296
2023-03-15,03:30,03:45,MW,7.752
2023-03-15,03:45,04:00,MW,9.144
2023-03-15,04:00,04:15,MW,328.736
2023-03-15,04:15,04:30,MW,17.356
2023-03-15,04:30,04:45,MW,1.064
2023-03-15,04:45,05:00,MW,14.376
2023-03-15,05:00,05:15,MW,1.012
2023-03-15,05:15,05:30,MW,0.000024
2023-03-15,05:30,05:45,MW,11.8
2023-03-15,05:45,06:00,MW,11.856
2023-03-15,06:00,06:15,MW,542.196
2023-03-15,06:15,06:30,MW,507.176
2023-03-15,06:30,06:45,MW,258.48
2023-03-15,06:45,07:00,MW,310.48
2023-03-15,07:00,07:15,MW,823.712
2023-03-15,07:15,07:30,MW,1547.04
2023-03-15,07:30,07:45,MW,602.348
2023-03-15,07:45,08:00,MW,109.72
2023-03-15,08:00,08:15,MW,128.276
2023-03-15,08:15,08:30,MW,0.000008
2023-03-15,08:30,08:45,MW,0.000332
2023-03-15,08:45,09:00,MW,0
2023-03-15,09:00,09:15,MW,19.068
2023-03-15,09:15,09:30,MW,0
2023-03-15,09:30,09:45,MW,0
2023-03-15,09:45,10:00,MW,0
2023-03-15,10:00,10:15,MW,1164.888
2023-03-15,10:15,10:30,MW,219.724
2023-03-15,10:30,10:45,MW,2.008
2023-03-15,10:45,11:00,MW,0.000008
2023-03-15,11:00,11:15,MW,0
2023-03-15,11:15,11:30,MW,0.000008
2023-03-15,11:30,11:45,MW,0.000004
2023-03-15,11:45,12:00,MW,0
2023-03-15,12:00,12:15,MW,0
2023-03-15,12:15,12:30,MW,0.000004
2023-03-15,12:30,12:45,MW,0
2023-03-15,12:45,13:00,MW,0
2023-03-15,13:00,13:15,MW,0
2023-03-15,13:15,13:30,MW,0
2023-03-15,13:30,13:45,MW,0
2023-03-15,13:45,14:00,MW,0
2023-03-15,14:00,14:15,MW,4.184
2023-03-15,14:15,14:30,MW,0.000004
2023-03-15,14:30,14:45,MW,8.356
2023-03-15,14:45,15:00,MW,73.18
2023-03-15,15:00,15:15,MW,0.000276
2023-03-15,15:15,15:30,MW,0
2023-03-15,15:30,15:45,MW,1.416
2023-03-15,15:45,16:00,MW,0.00002
2023-03-15,16:00,16:15,MW,0
2023-03-15,16:15,16:30,MW,0
2023-03-15,16:30,16:45,MW,0.000084
2023-03-15,16:45,17:00,MW,0.000252
2023-03-15,17:00,17:15,MW,2.448
2023-03-15,17:15,17:30,MW,13.812
2023-03-15,17:30,17:45,MW,20.324
2023-03-15,17:45,18:00,MW,2.872
2023-03-15,18:00,18:15,MW,0
2023-03-15,18:15,18:30,MW,0.000256
2023-03-15,18:30,18:45,MW,0.000164
2023-03-15,18:45,19:00,MW,27.3
2023-03-15,19:00,19:15,MW,34.736
2023-03-15,19:15,19:30,MW,114.392
2023-03-15,19:30,19:45,MW,90.7
2023-03-15,19:45,20:00,MW,223.732
2023-03-15,20:00,20:15,MW,36.392
2023-03-15,20:15,20:30,MW,3.36
2023-03-15,20:30,20:45,MW,0
2023-03-15,20:45,21:00,MW,0.000004
2023-03-15,21:00,21:15,MW,38.46
2023-03-15,21:15,21:30,MW,17.792
2023-03-15,21:30,21:45,MW,0.00004
2023-03-15,21:45,22:00,MW,0.00002
2023-03-15,22:00,22:15,MW,81.928
2023-03-15,22:15,22:30,MW,6.852
2023-03-15,22:30,22:45,MW,149.5
2023-03-15,22:45,23:00,MW,0
2023-03-15,23:00,23:15,MW,73.768
2023-03-15,23:15,23:30,MW,0.000104
2023-03-15,23:30,23:45,MW,40.832
