Time,Nominal,Moderate,Data
1.000000000000000000e+00,6.494826299604622477e+01,7.609288461538463366e+01,6.141512041494902263e+01
1.000000000000000000e+00,6.494826299604622477e+01,7.609288461538463366e+01,6.141512041494902263e+01
1.000000000000000000e+00,6.494826299604622477e+01,7.609288461538463366e+01,6.141512041494902263e+01
1.000000000000000000e+00,6.494826299604622477e+01,7.609288461538463366e+01,6.141512041494902263e+01
2.000000000000000000e+00,6.117354367614595390e+01,7.369980769230771500e+01,5.720238356957301562e+01
2.000000000000000000e+00,6.117354367614595390e+01,7.369980769230771500e+01,5.720238356957301562e+01
2.000000000000000000e+00,6.117354367614595390e+01,7.369980769230771500e+01,5.720238356957301562e+01
2.000000000000000000e+00,6.117354367614595390e+01,7.369980769230771500e+01,5.720238356957301562e+01
3.000000000000000000e+00,5.908992530517237185e+01,7.237884615384616893e+01,5.487698262205710620e+01
3.000000000000000000e+00,5.908992530517237185e+01,7.237884615384616893e+01,5.487698262205710620e+01
3.000000000000000000e+00,5.908992530517237185e+01,7.237884615384616893e+01,5.487698262205710620e+01
3.000000000000000000e+00,5.908992530517237185e+01,7.237884615384616893e+01,5.487698262205710620e+01
4.000000000000000000e+00,7.057940165360238893e+01,7.966288461538462684e+01,6.769969505313289915e+01
4.000000000000000000e+00,7.057940165360238893e+01,7.966288461538462684e+01,6.769969505313289915e+01
4.000000000000000000e+00,7.057940165360238893e+01,7.966288461538462684e+01,6.769969505313289915e+01
4.000000000000000000e+00,7.057940165360238893e+01,7.966288461538462684e+01,6.769969505313289915e+01
5.000000000000000000e+00,1.024136565929768352e+02,9.984500000000001307e+01,1.032279893083302653e+02
5.000000000000000000e+00,1.024136565929768352e+02,9.984500000000001307e+01,1.032279893083302653e+02
5.000000000000000000e+00,1.024136565929768352e+02,9.984500000000001307e+01,1.032279893083302653e+02
5.000000000000000000e+00,1.024136565929768352e+02,9.984500000000001307e+01,1.032279893083302653e+02
6.000000000000000000e+00,1.375375957998149659e+02,1.221126923076922992e+02,1.424277020051945044e+02
6.000000000000000000e+00,1.375375957998149659e+02,1.221126923076922992e+02,1.424277020051945044e+02
6.000000000000000000e+00,1.375375957998149659e+02,1.221126923076922992e+02,1.424277020051945044e+02
6.000000000000000000e+00,1.375375957998149659e+02,1.221126923076922992e+02,1.424277020051945044e+02
7.000000000000000000e+00,1.473259610950466652e+02,1.283182692307692605e+02,1.533519068640372609e+02
7.000000000000000000e+00,1.473259610950466652e+02,1.283182692307692605e+02,1.533519068640372609e+02
7.000000000000000000e+00,1.473259610950466652e+02,1.283182692307692605e+02,1.533519068640372609e+02
7.000000000000000000e+00,1.473259610950466652e+02,1.283182692307692605e+02,1.533519068640372609e+02
8.000000000000000000e+00,1.344732905467104445e+02,1.201699999999999875e+02,1.390078155047132782e+02
8.000000000000000000e+00,1.344732905467104445e+02,1.201699999999999875e+02,1.390078155047132782e+02
8.000000000000000000e+00,1.344732905467104445e+02,1.201699999999999875e+02,1.390078155047132782e+02
8.000000000000000000e+00,1.344732905467104445e+02,1.201699999999999875e+02,1.390078155047132782e+02
9.000000000000000000e+00,1.096579387207378176e+02,1.044376923076922736e+02,1.113128961984997432e+02
9.000000000000000000e+00,1.096579387207378176e+02,1.044376923076922736e+02,1.113128961984997432e+02
9.000000000000000000e+00,1.096579387207378176e+02,1.044376923076922736e+02,1.113128961984997432e+02
9.000000000000000000e+00,1.096579387207378176e+02,1.044376923076922736e+02,1.113128961984997432e+02
1.000000000000000000e+01,9.322650422703178208e+01,9.402057692307693060e+01,9.297476198304070749e+01
1.000000000000000000e+01,9.322650422703178208e+01,9.402057692307693060e+01,9.297476198304070749e+01
1.000000000000000000e+01,9.322650422703178208e+01,9.402057692307693060e+01,9.297476198304070749e+01
1.000000000000000000e+01,9.322650422703178208e+01,9.402057692307693060e+01,9.297476198304070749e+01
1.100000000000000000e+01,8.132085021009459069e+01,8.647269230769231285e+01,7.968757872651843854e+01
1.100000000000000000e+01,8.132085021009459069e+01,8.647269230769231285e+01,7.968757872651843854e+01
1.100000000000000000e+01,8.132085021009459069e+01,8.647269230769231285e+01,7.968757872651843854e+01
1.100000000000000000e+01,8.132085021009459069e+01,8.647269230769231285e+01,7.968757872651843854e+01
1.200000000000000000e+01,7.160316231775084361e+01,8.031192307692307963e+01,6.884225265946074046e+01
1.200000000000000000e+01,7.160316231775084361e+01,8.031192307692307963e+01,6.884225265946074046e+01
1.200000000000000000e+01,7.160316231775084361e+01,8.031192307692307963e+01,6.884225265946074046e+01
1.200000000000000000e+01,7.160316231775084361e+01,8.031192307692307963e+01,6.884225265946074046e+01
1.300000000000000000e+01,7.024937154913023107e+01,7.945365384615385551e+01,6.733136833441149349e+01
1.300000000000000000e+01,7.024937154913023107e+01,7.945365384615385551e+01,6.733136833441149349e+01
