Time,Nominal,Moderate,Data
0,94.6205056275785,94.7200340544871,101.449951806426
0.25,79.1590974929631,85.0548417467948,79.0528016718106
0.5,62.7870908968092,74.8204186698717,55.3365730756568
0.75,49.1865645506554,66.3184955929487,35.6350667295029
1,73.7420529537785,81.5900340544872,74.1536648101813
1.25,61.4468202807016,73.9040725160256,56.3429861371044
1.5,53.2428203576247,68.7756109775641,44.4588022140275
1.75,46.8781677999324,64.7969571314102,35.2390676563352
2,65.8554893646475,76.6265725160256,63.9845756955746
2.25,56.256058826186,70.6258032852564,50.078993157113
2.5,53.0797314223398,68.6402263621795,45.4778157532669
2.75,50.6734134608014,67.1359955929487,41.9920617917284
3,45.3808584167508,63.8090725160256,35.0182461711356
3.25,49.2109093782893,66.2033032852564,40.566397132674
3.5,55.2288577244432,69.9652263621795,49.2839014788279
3.75,64.1668738398278,75.5525340544871,62.2313695942125
4,44.8692007844116,63.5909955929487,30.4563066214422
4.25,54.6713625344116,69.7184955929487,44.6555623714422
4.5,74.0944892459501,81.8602263621795,72.7915950829806
4.75,91.3574056882578,92.6515725160256,97.7983815252883
5,56.3503495699399,71.0500340544871,36.5014147227933
5.25,79.3331164160938,85.4169571314102,69.7938855689472
5.5,106.584005916093,102.45195713141,109.269091068947
5.75,130.143587666093,117.17945713141,143.397126818947
6,113.660281969085,107.186572516025,107.839404611965
6.25,144.297920949855,126.338687900641,152.220601592734
6.5,149.288369680624,129.458303285256,159.449686323503
6.75,152.384096815239,131.393495592948,163.934107458119
7,190.969215552779,155.600418669871,216.572831759269
7.25,145.337465418163,127.075226362179,150.471403624654
7.5,136.640327206625,121.638495592948,137.872867413115
7.75,120.14372859124,111.326187900641,113.976156797731
8,177.090583562135,146.810803285256,200.742548957637
8.25,136.388985773673,121.367534054487,141.782861169176
8.5,116.697294042904,109.057918669871,113.257789438407
8.75,90.7892296390582,92.8623417467948,75.727779034561
9,156.139430140008,133.494072516025,178.64524605527
9.25,118.2163881977,109.787726362179,123.710530112962
9.5,90.3062377169317,92.340610977564,83.2803296321936
9.75,64.244971274624,76.0492648237179,45.5283931898859
10,123.75314158861,113.103303285256,137.195163782119
10.25,95.956508280918,95.7271494391025,96.9294024744269
10.5,78.343811280918,84.7171494391025,71.4159294744269
10.75,55.1918453963026,70.2444571314102,37.8783595898115
11,105.759398533211,101.749649439102,115.088871487135
11.25,83.8145908793654,88.0315725160256,83.2999718332892
11.5,74.7910523409038,82.3908032852564,70.2286172948277
11.75,55.0765956485961,70.0669571314102,41.67056860252
12,83.147513371637,87.5284955929487,85.5652161508469
12.25,67.0551466408678,77.4688802083333,62.2540694200777
12.5,57.0428704485601,71.2100340544871,47.75044522777
12.75,37.7957107370216,59.1783032852564,19.8693155162315
13,37.4651126991702,58.9596494391025,19.8406119219515
13.25,56.2378998337856,70.6948417467948,47.0345730565669
13.5,65.5010857376318,76.4854186698718,60.453076960413
13.75,75.8209965453241,82.9365725160256,75.4023357681054
14,33.1371183906328,56.3208032852564,11.0685939359412
14.25,64.0380926021713,75.6375340544872,55.8312541474796
14.5,88.8749732752482,91.1634955929487,91.8095648205566
14.75,105.677360698325,101.66695713141,116.149236243633
15,40.7634617413676,61.200610977564,17.8942637678885
15.25,81.2060311836753,86.4819571314102,76.4787272101962
15.5,104.805605433675,101.23445713141,110.664695460196
15.75,126.211744875982,114.615803285256,141.673288902503
16,52.9049390334403,68.9781109775641,28.4370541816485
16.25,94.6767976488249,95.0904186698718,88.9471047970331
16.5,127.016271321901,115.306380208333,135.79355247011
16.75,162.330879360363,137.382149439102,186.949732508571
17,99.9264268127139,98.7073417467949,83.963712898572
17.25,128.379552389637,116.493880208333,125.180458475495
17.5,162.372869755021,137.743687900641,174.422637840879
17.75,224.957440639637,176.866380208333,265.081652725495
18,162.926682814038,138.460418669871,161.31381235327
18.25,172.481506333269,144.433303285256,175.154777872501
18.5,200.238762410192,161.784841746794,215.363497949424
18.75,250.558248814038,193.240418669871,288.25550635327
19,279.910223716603,211.448303285256,336.050666247071
19.25,193.027748005065,157.136572516025,210.194092535532
19.5,191.791672120449,156.363880208333,208.403532650917
19.75,204.220418216603,164.133303285256,226.407616747071
20,225.193969627895,176.950034054487,267.834742164029
